y,rf
0,0.96435897
0,0.942083839
0,0.913062017
0,0.927262853
0,0.946456761
0,0.954295351
0,0.800353158
0,0.951347017
0,0.692206763
0,0.953656274
1,0.891555023
0,0.937470787
0,0.876864311
0,0.88905524
0,0.914680847
0,0.97991363
0,0.742268791
0,0.984474106
0,0.945501139
0,0.925509087
0,0.879310077
0,0.88336104
0,0.904924101
0,0.886393218
0,0.412610295
0,0.986994091
0,0.785529199
0,0.976329987
0,0.67566975
0,0.794203363
0,0.928089065
0,0.980126603
0,0.951272012
0,0.681664367
0,0.96951635
0,0.91074464
0,0.788372942
0,0.8629065
1,0.464948708
1,0.464948708
0,0.923036177
0,0.816267451
0,0.966139654
0,0.84311878
0,0.905344795
0,0.947490572
0,0.933286548
1,0.491059158
1,0.327233395
0,0.939032762
1,0.30827051
1,0.30827051
0,0.940737269
0,0.925213945
0,0.993760458
0,0.963936259
1,0.41515725
1,0.41515725
0,0.908250437
0,0.838816764
0,0.873566455
0,0.9697751
0,0.92697987
0,0.922687695
0,0.890776624
0,0.912641344
0,0.93345606
0,0.860988089
0,0.972068253
0,0.690152216
0,0.974054017
0,0.803706887
0,0.933680946
0,0.907768797
1,0.258932718
1,0.258932718
1,0.909944632
1,0.468962615
1,0.468962615
0,0.879780404
1,0.572066587
1,0.572066587
1,0.369278497
0,0.909428818
0,0.98575755
0,0.816935842
0,0.975391563
0,0.977324037
0,0.8560961
1,0.75042244
0,0.94912407
1,0.499295687
0,0.91662213
1,0.215631324
1,0.670314684
0,0.915298728
1,0.325561046
1,0.325561046
0,0.869394563
0,0.88211394
0,0.960637139
0,0.907606017
0,0.755159097
0,0.844300192
0,0.97985215
0,0.885984673
0,0.898401491
0,0.907649196
1,0.789373238
1,0.789373238
0,0.834310879
0,0.876397796
0,0.800796528
0,0.873935357
0,0.900482522
0,0.975121187
0,0.858893398
0,0.951327484
0,0.943655692
0,0.923855225
0,0.935979843
1,0.324313889
0,0.929730675
0,0.900726272
1,0.404979415
1,0.404979415
1,0.79588034
1,0.79588034
0,0.95383635
0,0.92765948
0,0.910268453
0,0.854188343
0,0.870840738
0,0.893819075
1,0.721855122
1,0.721855122
0,0.910602602
0,0.876971265
0,0.976870324
0,0.96541988
0,0.964355049
0,0.900148652
0,0.91117448
0,0.787566537
1,0.333240186
1,0.333240186
0,0.95633212
1,0.50041608
1,0.50041608
0,0.983779762
0,0.691619574
0,0.937017897
0,0.878926178
0,0.850701809
0,0.924543424
1,0.239167471
1,0.239167471
0,0.896400444
0,0.939329819
0,0.937844589
0,0.812167579
0,0.931595396
0,0.975093035
1,0.657976713
1,0.657976713
0,0.980029982
0,0.954243239
0,0.943535663
0,0.556797745
0,0.908117354
0,0.943254332
0,0.895959834
0,0.902638312
0,0.849577315
0,0.995603331
1,0.291744714
1,0.291744714
0,0.894594297
0,0.928043277
0,0.969377723
0,0.996301672
0,0.37487147
0,0.830041159
0,0.964789609
0,0.930966041
0,0.87964317
0,0.964239389
0,0.75273426
1,0.697991638
0,0.871650085
0,0.909322347
0,0.909944632
0,0.969619928
1,0.614761803
1,0.614761803
0,0.991940607
0,0.918710473
0,0.948740262
0,0.808727994
0,0.956558221
0,0.940113128
0,0.973304879
0,0.9559
0,0.89807274
0,0.948313784
0,0.975056118
0,0.869230924
0,0.857475835
0,0.888656748
0,0.995312671
0,0.921849402
0,0.840514324
1,0.382837969
1,0.382837969
1,0.801924567
0,0.88307443
0,0.948999999
0,0.744107659
0,0.778523963
0,0.817711058
0,0.904242877
0,0.924750113
0,0.978119135
1,0.718298934
1,0.320642377
0,0.980305438
0,0.929812309
0,0.970358415
0,0.82370201
0,0.932545083
1,0.552790581
1,0.552790581
0,0.867345605
0,0.91831181
0,0.906887887
0,0.966201316
0,0.865871427
0,0.934790313
0,0.884602351
1,0.732275152
1,0.732275152
0,0.866985755
1,0.89218948
1,0.89218948
0,0.752738307
0,0.938720479
0,0.948193638
0,0.905522627
0,0.895818866
0,0.977443387
0,0.965258833
0,0.819546772
0,0.950017297
0,0.926850847
0,0.617267913
0,0.945800261
0,0.965261439
0,0.888883298
0,0.907150999
0,0.88247192
0,0.933581124
0,0.975550994
1,0.248431242
0,0.90707585
0,0.806528571
0,0.901730148
0,0.851850914
0,0.944697194
0,0.917970721
0,0.929168331
0,0.98940082
0,0.994523582
0,0.74838371
0,0.900577423
0,0.97017595
0,0.891422481
0,0.941277128
0,0.914252121
1,0.493561652
1,0.493561652
0,0.900916019
0,0.992951485
0,0.906887887
0,0.93572748
0,0.939991735
0,0.973286024
1,0.338768628
0,0.909690498
0,0.991525803
0,0.630403588
0,0.980799412
0,0.914362035
0,0.953122015
0,0.965616851
0,0.885818573
0,0.954666433
0,0.855429187
1,0.829322608
0,0.982852618
0,0.923814993
0,0.925356047
0,0.909724743
0,0.717040011
0,0.88136407
0,0.808437827
0,0.910376497
1,0.720002562
1,0.720002562
0,0.928427068
0,0.954249343
1,0.295052784
1,0.429541726
0,0.983341103
0,0.868923265
0,0.809122347
1,0.42480598
1,0.115772366
1,0.115772366
0,0.666755596
0,0.952772386
0,0.908596208
1,0.448482698
1,0.455829728
1,0.455829728
1,0.433825438
0,0.953340161
0,0.93377982
1,0.408396401
0,0.981546947
0,0.937481619
0,0.983584916
