isBad_30,CityId,cashTotalAmt,cashTotalCnt,education,idVerify,inCourt,maritalStatus,monthCardLargeAmt,netLength,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,threeVerify,transTotalAmt,transTotalCnt,transCnt_mean,transCnt_non_null_months,transAmt_mean,transAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashAmt_mean,cashAmt_non_null_months,isDue,isCrime,isBlackList,Han,age,sex,card_age
1,二线城市,,,小学,一致,0,已婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,39.0,男,-11.0
1,二线城市,,,小学,一致,0,已婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,39.0,男,-11.0
0,其它,,,初中,一致,0,已婚,20000.0,24 个月以上,0.94,40000.0,4.0,0.0,0.0,一致,40000.0,4.0,1.3333333333333333,3.0,13333.333333333336,3.0,,,,,0.0,0.0,0.0,1.0,33.0,男,1.0
0,其它,,,初中,一致,0,已婚,21000.0,24 个月以上,0.92,73000.0,10.0,0.0,0.0,一致,73000.0,10.0,2.5,4.0,18250.0,4.0,,,,,0.0,0.0,0.0,1.0,45.0,男,-3.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,0.0,30.0,男,0.0
0,其它,4600.0,12.0,小学,一致,0,已婚,18160.0,24 个月以上,0.79,0.0,0.0,0.0,0.0,不一致,18800.0,6.0,1.0,6.0,3131.666666666666,6.0,2.0,6.0,766.6666666666665,6.0,0.0,0.0,0.0,1.0,22.0,男,-1.0
0,其它,8400.0,8.0,初中,一致,1,已婚,140.0,12-24个月,0.87,130.0,6.0,140.0,2.0,不一致,140.0,3.0,0.75,4.0,35.0,4.0,4.0,2.0,4200.0,2.0,0.0,0.0,0.0,1.0,33.0,男,0.0
0,其它,11600.0,8.0,初中,一致,0,未说明,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,11600.0,1.0,0.0,0.0,0.0,1.0,29.0,男,-3.0
1,其它,,,小学,一致,0,已婚,,,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,26.0,男,21.0
1,其它,3000.0,7.0,Missing,一致,0,已婚,0.0,12-24个月,0.94,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,2.0,0.0,2.0,3.5,2.0,1500.0,2.0,0.0,0.0,0.0,1.0,41.0,男,-1.0
0,其它,10400.0,7.0,小学,一致,0,已婚,0.0,24 个月以上,0.83,0.0,0.0,0.0,1.0,一致,0.0,1.0,0.2,5.0,0.0,5.0,2.333333333333333,3.0,3466.666666666666,3.0,0.0,0.0,0.0,0.0,27.0,男,6.0
0,其它,,,初中,一致,0,已婚,21000.0,24 个月以上,0.85,-50000.0,5.0,0.0,0.0,一致,26000.0,4.0,0.6666666666666666,6.0,4333.333333333333,6.0,,,,,0.0,1.0,0.0,1.0,32.0,男,-4.0
0,其它,6900.0,3.0,高中,一致,0,已婚,80.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,一致,110.0,2.0,1.0,2.0,55.0,2.0,3.0,1.0,6900.0,1.0,0.0,0.0,0.0,0.0,46.0,男,-4.0
0,其它,15000.0,9.0,初中,一致,0,已婚,9530.0,24 个月以上,0.87,0.0,0.0,0.0,0.0,无记录,13760.0,8.0,1.6,5.0,2748.0,5.0,4.5,2.0,7500.0,2.0,0.0,0.0,0.0,0.0,28.0,男,-3.0
0,其它,,,高中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,42.0,男,-1.0
0,其它,,,高中,一致,0,未说明,,12-24个月,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,21.0,男,14.0
0,二线城市,1500.0,1.0,专科,一致,0,已婚,0.0,24 个月以上,0.96,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1500.0,1.0,0.0,0.0,0.0,1.0,30.0,男,19.0
0,新一线城市,,,初中,一致,0,已婚,,,0.98,0.0,1.0,0.0,1.0,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,64.0,男,-2.0
